AuthorId,PaperIds
55,949475 855331 580095 2253161 749124 507841 1068666 1006063 674836 501918 1420910 285210 283152 1598529 368324 360533 847068 2149929 627473 1182092 144775 1113127 1963658 1807352 609556 341916 1958000 1200417 1087938 1003588 529078 2239313 1629211 599636 391076 68389 191340 998325 869430 605718 415449 2160386 1311582 1705250 1917226 1536069 1246558 649131 567439 538215 2145125 400429 1258087 1389430 1315957 889545 311565 337774 2139275 2242701 847721 1134037 787670 427328 1567825 569149 1404308 590824 1309499 375494 151248 842748 778747 360278 1503337 520682 1426341 478547 1791611 933473 293806 1263351 424703 413987 69178 600343 396571 1647435 1236357 837051 645843 607208 2219269 1964990 1846507 561429 348351 330142 1935912 179163 178422 1779715 1495079 1394715 1318932 1291570 947880 878611 618099 530550 1634096 153324 636227 563378 2067435 1892017 1709669 1114808 991821 951610 916062 914441 873533 860343 844326 839470 836932 836220 82669 809176 791391 782195 768943 761011 75356 742557 739353 707333 701621 666181 662811 602590 596639 55193 548812 441364 433440 42966 415677 40294 400432 393613 389256 367455 36459 341809 282173 275203 25103 243218 24074 2239080 2227977 2188615 217562 2172944 2169279 2152937 2135162 2133149 2130152 2116002 2107137 2097673 2052277 2050391 2020967 2020050 1996769 1978555 1923712 1914211 188583 1868160 1845348 1844943 1842828 1813933 1805568 1796849 1767867 1740617 1728999 1704638 1686687 1671418 1645597 1619343 1600372 1521193 1514435 1513936 1505207 1503094 1487068 1484358 1480374 1475480 1453295 1441833 1432571 1412697 1406810 1402396 1401976 1389913 1358815 1358761 1355338 1347683 1341262 1334565 1334503 1333822 1330500 1292671 129165 128962 1279252 1265959 1253687 1246911 1235117 1234065 1224097 1221789 1175552 1149308 1129545 1127766 109868 1038114 1030869 1028676 1017616 1002385 1232116 122970 1226103 82789 803603 732607 2078331 836602 462613 1639193 1572902 1267968 222469 2188967 2069862 167677 1516256 1306853 1111248 145200 885156 849805 824805 479932 2172928 1627327 1315501 2144025 878853 767668 75169 569738 402085 2233795 2088058 1692285 1598603 1254356 1131277 294906 1169763 852486 652442 2047193 1561133 380270 2235159 1208855 857434 375645 1715897 1596644 1473948 838147 778260 716659 419865 2060463 185529 1842680 1704151 1674347 164850 1470552 1421288 138408 1314361 1162408 1147447 1040990 862499 1743955 1613009 1230662 683325 2189241 166298 640178 787171 494493 110515 372043 1490929 1213444 68780 657724 787757 1051041 1012283 224005 2061699 1575412 1390814 1130940 1065523 1647084 1218501 671895 1258466 441057 452096 443598 267444 1324071 590988 1691264 1350211 1998820 411010 209987 1471568 487867 1120846 913529 1079484 1039736 1412366 258012 2254072 102768 440944 2001206 1212786 2086146 1618919 690310 685489 197854 616823 861633 810770 434255 1717868 1696592 2228319 222631 944768 1537119 1425243 468963 449667 617344 1384633 1874507 429669 423069 1973900 919007 433613 1464112 2043565 1587177 1165889 762178 418934 2182966 160532 1106983 2139295 2092511 1689507 545233 1561911 156007 745317 633416 251879 1373323 136767 327692 1501821 629576 518886 313273 2223355 1971149 1819740 1369596 1348168 491228 169774 1170435 292208 1117699 589720 1488589 2006004 1562350 1545364 1044866 2203516 2160850 1283236 533875 269210 2243047 157653 1303769 939887 583593 300323 228600 20444 1845523 1792050 1058628 500411 327786 1993390 1409438 1224720 1079496 766130 757830 2185666 1905878 1309753 362297 248390 1296398 529900 2169998 1088098 697076 520007 295041 2014129 1639061 1477509 1321344 1000445 493921 1988335 1368392 1231449 1095626 1034482 686632 823685 810900 800859 52775 446774 1974662 1669282 1637203 1598298 15471 1287246 2069581 883792 860367 821861 2100017 2001305 1782482 1705023 1294041 1153819 366499 747730 699144 601175 493623 391835 317855 2187821 1638417 1299922 1131748 2071330 1748110 1124696 753581 717808 434161 341776 2238930 2033860 1693618 1618867 1507925 1340284 1338645 600193 577846 1247571 819589 733374 566388 372994 1883848 981085 801725 571156 374924 2213984 1988643 1953648 1762246 161497 1457884 1374577 1268918 1173588 1157610 1609130 965304 816840 1417252 1481605 95899 812510 50011 427091 2188174 2010142 1976657 1961041 1909176 1871885 1166498 108616 77268 649955 640883 401485 264821 2221713 2170187 1930652 824229 783611 558232 515706 417586 369796 2228219 2031585 1874629 1588620 1564558 1392908 1360578 1275261 1272277 1268197 1231847 1081944 1058984 250051 542459 2140444 1336245 1318181 322106 2089307 1051834 2161270 1709794 973193 918326 898876 867779 805860 720336 651888 605597 464497 372836 312517 2507 241121 2232203 2209422 2025947 1886009 1822770 1665586 1659666 1614166 1611534 1605108 1559958 1482854 139335 138526 1281589 1204075 1057692 1032043 2054919 19294 1754410 2126038 1330055 801400 655318 25304 1200622 178136 847749 733638 47028 443903 2248734 2101279 1809054 1617887 1604996 1290673 85184 1768979 2148216 869813 794747 744480 511272 397455 299391 178497 1737538 1690254 1493998 1328475 1183554 1912963 1376095
426,703799 1397733 885676 1513874 1474160 1743931 1715768 1220376 762357 92584 1755057 733468 2114604 1525094 1591324 1619181 581263 2131795 212235 1886966 1200538 1020664 1620205 1506113 1309402 608753 174625 1896437 873 841427 1522781 643226 37257 284639 1738852 1425521
1861,922192 528639 282043 1048827 59550 1818633 1059590 124595
10212,792369 24013 719916 681072 49767 1763581 173546 1155164 199989 1723109 824163 694244 1888199 1443210 509790 275419 2148031 711071 551557 1495359 2017320 1753895 414184 290814 1907454 1830188 1114250 1576383 131299 1409670 1274721 736670 1279152 2108310 213826 656535 195044
10275,368138 876311 300441 2029275 871240 995222 389312 358576 1979860 2192149 2161376
11496,395701 248838 511060 1885728 973637 382531 1743639 310992 1762778 1272569 1492999 220745 1872494 1202424 1104541
18188,552709 661470 1449121 2143863 389381 932834 1596936 1667384 517152 1908236 2235164 197565 1545848 1625524 837759 201934 804483 1940154 157235 2179721 580096 1792343 474495 909867 2166077 2045142 1370016 1161740 137079 1957616 1094311 925232 2174825 763814 986581 888761 735641 710443 241280 1932598 1835169 1678146 139332 1221739 1107957 1572736 2085225 1478315 913351 573569 1794090 813760
24084,985112 1016070 855848 540977 1295125 881167 798065 709938 1869397 1265218 1995821 2109321 1255955 2110768 1001700 755602 1738102 740629 1019835 878697 1884939 83119 264073 508776 387864 1293911 1627503 1921831 333881 742130 1189579 1036778 1631641 1382971 948819 485673 1373575 1125171 1231769 1033339 885251 2088513 577751 159070 1956573 921770 682071
24742,1983432 1781937 1479666 368006 418161 1245729 2044666 51173 1208535 1913487 1048305 93774 1027260 554197 130342 1212339 1878416 415681 1913043 2169048 2089832 306589 2096774 16442 71659 721790 1401091 1252386 2254334
25416,1622407 1610983 2185606 1966318 1474602 1919301 742067 61971 329902 2225397 1847725 1596121 1196882 813039 605987 374185 232439 1854342 866186 930472 867114 305286 2192042 1687437 1614447 1613422 1577492 1400136 1370261 1099694 790443 670347 1610714 1451082 1416605 1360551 927390 1237729 519560 892088 2001332 1227405 1818437 2247877 360572 941767 93999 869152 814588 757899 460139 284666 2160345 2138119 2134084 1895909 1828331 181977 1797025 169683 1587465 1485594 1462076 1447022 12812 12388 1168453 1076709 1067880 558147 812580 1825773 811814 424415 1503965 84140 686511 1676941 680237 1104862 1826301
