AuthorId,PaperIds
55,1068666 2253161 538215 2145125 507841 847068 1420910 2149929 749124 1258087 1598529 949475 400429 283152 674836 855331 1006063 285210 368324 360533 341916 1705250 2139275 1113127 609556 501918 649131 580095 1958000 1182092 567439 1963658 1311582 1917226 1246558 998325 605718 337774 1200417 1087938 529078 627473 311565 2160386 869430 1807352 1629211 1389430 68389 599636 1315957 191340 391076 2242701 1536069 144775 2239313 415449 1003588 889545 2172928 427328 778747 1846507 375645 838147 1715897 360278 569149 1309499 787670 1567825 122970 222469 178422 1318932 600343 396571 164850 1421288 842748 1503337 847721 1134037 645843 590824 1516256 878611 618099 2069862 2047193 330142 1291570 824805 2088058 1964990 878853 151248 1692285 1254356 1131277 1709669 1114808 1779715 1236357 1208855 1432571 1012283 413987 1674347 1162408 782195 1842828 1412697 742557 2020050 424703 375494 167677 1868160 685489 561429 1935912 1404308 1647435 1358761 857434 778260 138408 402085 1213444 1394715 75169 1218501 1426341 2130152 1246911 852486 652442 1561133 947880 2020967 530550 914441 1253687 1030869 415677 1767867 348351 449667 1127766 1805568 1598603 55193 40294 2050391 1358815 1221789 590988 1691264 82669 1079484 1111248 787171 494493 1232116 1892017 1634096 153324 1040990 1791611 1402396 1689507 1384633 671895 1258466 2219269 389256 479932 2188967 293806 1263351 468963 836602 462613 1639193 1334565 2060463 933473 849805 1645597 160532 294906 68780 1704151 24074 1038114 1796849 145200 1314361 1306853 1562350 716659 1572902 1267968 209987 1471568 1226103 169774 2228319 616823 1473948 520682 282173 2097673 1390814 1647084 478547 803603 1484358 1017616 1495079 1988335 52775 2235159 109868 1475480 2078331 1490929 2152937 110515 762178 393613 292208 419865 82789 1453295 1348168 1338645 2092511 418934 2100017 1507925 300323 1792050 1350211 267444 491228 75356 2189241 2239080 1505207 862499 1613009 2233795 2001206 1000445 1813933 1334503 1279252 1034482 69178 1953648 20444 1988643 1272277 767668 1844943 179163 1106983 2033860 1369596 563378 1845523 1058628 836932 1513936 380270 1028676 1321344 545233 566388 640178 2169279 1170435 2144025 1503094 810770 1874507 1923712 861633 372994 1696592 1842680 739353 885156 1368392 1231847 2133149 1477509 1575412 2061699 441057 224005 2071330 2069581 816840 965304 1417252 607208 761011 275203 583593 241121 2228219 1974662 1224720 1501821 602590 636227 732607 1993390 166298 916062 400432 2116002 569738 787757 440944 2043565 919007 1051041 1292671 446774 1470552 1996769 1333822 129165 1886009 809176 1129545 1728999 2182966 1998820 690310 981085 374924 1157610 1309753 1268197 372043 844326 1234065 801725 768943 1914211 1169763 1598298 2254072 1561911 1324071 951610 341809 839470 913529 1669282 197854 2188615 1149308 2232203 47028 441364 185529 434161 2238930 1079496 1340284 1265959 1296398 683325 837051 2203516 2160850 452096 1117699 2139295 1596644 50011 601175 533875 2172944 2135162 1704638 605597 1605108 657724 1545364 1315501 25103 720336 487867 443598 1120846 707333 1686687 2248734 1737538 1743955 1039736 258012 188583 1002385 269210 1819740 1537119 617344 1283236 1230662 515706 633416 1409438 596639 1480374 1600372 1521193 666181 42966 367455 228600 1231449 2086146 1618919 1131748 1065523 1587177 1559958 1235117 2140444 2169998 1487068 128962 744480 717808 518886 362297 1754410 1976657 1978555 697076 1147447 102768 1347683 529900 766130 391835 136767 248390 1782482 243218 1389913 1355338 1330500 1748110 1124696 500411 1930652 699144 372836 548812 1425243 1717868 411010 1081944 429669 1905878 295041 1412366 1809054 1130940 2126038 1973900 1374577 944768 77268 1971149 939887 1032043 1464112 589720 520007 157653 1044866 836220 433440 1514435 2213984 1961041 1871885 600193 1247571 571156 1457884 1204075 2006004 366499 222631 973193 1165889 2185666 1488589 1287246 1275261 2101279 433613 434255 747730 1762246 161497 1058984 2010142 1619343 1212786 427091 1883848 558232 1268918 1173588 312517 417586 317855 1639061 1183554 1671418 1441833 1401976 15471 1638417 2243047 2054919 662811 2067435 791391 873533 1406810 313273 108616 1909176 783611 1611534 1057692 217562 95899 812510 1303769 251879 1392908 423069 898876 2188174 1166498 327786 542459 1336245 156007 745317 1373323 511272 341776 1618867 1604996 19294 823685 753581 2001305 1637203 991821 36459 2052277 1740617 1341262 860343 701621 1175552 2227977 2107137 1845348 1224097 327692 1360578 640883 801400 2014129 1627327 264821 733638 1617887 2170187 493921 1665586 1482854 2223355 757830 649955 800859 629576 1690254 1095626 369796 918326 1290673 1614166 1294041 1281589 847749 733374 1330055 686632 2221713 2187821 1609130 805860 860367 651888 1564558 2161270 1709794 1693618 25304 250051 869813 2507 299391 577846 821861 1318181 655318 443903 1153819 867779 883792 1299922 1705023 1493998 819589 810900 2025947 824229 1659666 1874629 322106 2031585 1588620 464497 139335 138526 1481605 1822770 493623 401485 2209422 794747 178497 397455 1328475 1088098 2089307 1051834 2148216 1200622 1768979 85184 1912963 1376095 178136
426,1886966 581263 1020664 212235 2131795 1474160 885676 1200538 1513874 92584 608753 1755057 1591324 1620205 1506113 1715768 1525094 1743931 733468 1619181 1309402 703799 1397733 1220376 762357 2114604 1425521 643226 37257 1738852 1896437 1522781 174625 873 284639 841427
1861,282043 1048827 922192 528639 59550 1059590 1818633 124595
10212,551557 792369 824163 711071 1495359 24013 1830188 290814 1753895 1723109 719916 414184 1155164 199989 1114250 1443210 509790 49767 275419 2148031 2017320 1576383 681072 173546 1888199 1763581 694244 1907454 131299 1409670 213826 1274721 2108310 656535 736670 1279152 195044
10275,2029275 300441 876311 368138 389312 358576 1979860 995222 2161376 871240 2192149
11496,511060 1885728 1762778 382531 220745 248838 310992 1272569 1492999 395701 1743639 973637 1872494 1202424 1104541
18188,1449121 661470 2143863 389381 552709 932834 1596936 837759 2045142 1370016 925232 888761 2174825 1957616 1835169 1221739 763814 813760 201934 909867 710443 139332 1107957 2179721 986581 1678146 241280 573569 1625524 735641 1932598 1545848 2166077 1161740 1572736 517152 2235164 197565 1908236 580096 1792343 137079 2085225 1667384 474495 913351 1794090 1094311 804483 157235 1940154 1478315
24084,1016070 855848 1295125 709938 881167 1995821 798065 1869397 2110768 740629 264073 1293911 1019835 878697 159070 83119 1921831 921770 1738102 1125171 1627503 1265218 1033339 1631641 985112 1956573 1036778 1189579 1231769 1001700 755602 540977 485673 1373575 1255955 2109321 1382971 1884939 742130 333881 577751 948819 387864 2088513 508776 885251 682071
24742,1479666 1983432 368006 1781937 1913487 1245729 2044666 418161 51173 1208535 1027260 93774 1048305 554197 1212339 1913043 2169048 2096774 130342 415681 16442 2089832 71659 721790 1401091 1878416 306589 1252386 2254334
25416,813039 812580 1370261 2185606 1622407 1610983 1966318 1614447 1474602 1237729 1919301 360572 61971 1847725 1196882 1067880 93999 1797025 811814 558147 866186 1610714 867114 1687437 1400136 374185 670347 2247877 305286 1818437 1825773 329902 927390 1416605 2134084 1895909 1485594 1577492 605987 930472 790443 519560 1360551 1227405 2160345 892088 1854342 2192042 1613422 232439 1587465 869152 1828331 181977 1447022 12812 2001332 460139 2138119 169683 814588 1462076 1451082 12388 2225397 1168453 1076709 1596121 941767 757899 742067 284666 1099694 84140 424415 1503965 686511 680237 1676941 1826301 1104862
28219,1456144 1835483 602134 1890179 1422005 83820 631751 586226 1652378 1025108 623567 1144676 5770 1791923 680300 167565 1220941 330872 109827 1325050 1399749 1931375 1955611 1588027 774485 627675 1680681 897275 1902112 335385 128718 1150031 303593 82050 660242 1852837 447407 1731420 2060242 1116196 487655 1703055 333598 1078812 647888 1581445 654955 1706816 401615 1862163 1594284 383133 5120 780897 68017 1464976 1084963 186104 2247914 1696145 2184495 665753 1637736 1481346
29128,1860108 2178958 921604 703337 2196786 1137717 1174507 618851 657946 1769412 110647 315629 2095139 642811 601667 1235232 1927641 223276 1668715 804653 1380889 1635071 648074
