AuthorId,PaperIds
55,998325 869430 605718 501918 415449 2160386 1420910 1311582 889545 847068 749124 649131 609556 567439 507841 341916 311565 2253161 2149929 1958000 1705250 1200417 1113127 1087938 1068666 1917226 1536069 1389430 1246558 1003588 674836 599636 580095 529078 2239313 1963658 1807352 1629211 1598529 391076 285210 855331 627473 1182092 68389 368324 360533 191340 949475 283152 144775 1315957 1006063 2242701 538215 400429 337774 2145125 2139275 1258087 991821 951610 916062 914441 873533 860343 844326 839470 836932 836220 82669 809176 791391 782195 768943 761011 75356 742557 739353 707333 701621 666181 662811 602590 596639 55193 548812 441364 433440 42966 415677 40294 400432 393613 389256 367455 36459 341809 322106 282173 275203 25103 243218 24074 2239080 2227977 2188615 217562 2172944 2169279 2152937 2135162 2133149 2130152 2116002 2107137 2097673 2052277 2050391 2020967 2020050 1996769 1978555 1923712 1914211 188583 1868160 1845348 1844943 1842828 1813933 1805568 1796849 1767867 1740617 1728999 1704638 1686687 1671418 1645597 1619343 1600372 1521193 1514435 1513936 1505207 1503094 1487068 1484358 1480374 1475480 1453295 1441833 1432571 1412697 1406810 1402396 1401976 1389913 1358815 1358761 1355338 1347683 1341262 1334565 1334503 1333822 1330500 1292671 129165 128962 1279252 1265959 1253687 1246911 1235117 1234065 1224097 1221789 1175552 1149308 1129545 1127766 109868 1038114 1030869 1028676 1017616 1002385 944768 913529 885156 860367 837051 810900 810770 800859 787757 787670 645843 629576 607208 479932 452096 446774 443598 440944 427328 375494 348351 313273 293806 267444 251879 2254072 2223355 2219269 2100017 2001206 1971149 1964990 1846507 179163 1779715 1637203 1598298 1567825 15471 1537119 151248 1394715 1369596 1350211 1348168 1324071 1294041 1291570 1287246 1258466 1153819 1079484 102768 1012283 852486 819589 753581 733374 717808 652442 617344 566388 500411 468963 449667 441057 434161 429669 423069 372994 362297 341776 327786 248390 2238930 2228319 222469 2188967 2069862 2047193 2043565 2033860 1993390 1973900 1883848 1874507 1693618 167677 1634096 1618867 1587177 1561133 153324 1516256 1507925 1409438 1384633 1340284 1338645 1306853 1296398 1232116 122970 1226103 1224720 1169763 1165889 1111248 1079496 847721 82789 803603 787171 732607 690310 545233 529900 494493 424703 413987 411010 2169998 209987 2078331 1647084 1471568 1134037 110515 1088098 69178 616823 600343 493921 396571 372043 1988335 1647435 1490929 1368392 1236357 1231449 1218501 1213444 1095626 1034482 947880 933473 883792 878611 849805 824805 823685 821861 745317 671895 633416 618099 590988 561429 530550 52775 518886 487867 330142 258012 2172928 2001305 1974662 1935912 1819740 178422 1782482 1705023 1691264 1669282 1495079 1425243 1373323 136767 1318932 1263351 1212786 1120846 1051041 1039736 878853 767668 762178 75169 589720 583593 569738 417586 402085 369796 300323 228600 2233795 2182966 2092511 2088058 20444 197854 1874629 1845523 1792050 1692285 1689507 160532 1598603 1488589 145200 1392908 1360578 1268197 1254356 1231847 1131277 68780 686632 657724 569149 222631 2086146 2069581 1998820 1618919 156007 1412366 1404308 981085 973193 939887 918326 898876 867779 862499 857434 842748 838147 836602 824229 805860 801725 783611 778747 778260 766130 757830 720336 716659 697076 685489 683325 651888 605597 590824 571156 558232 520682 520007 515706 491228 478547 464497 462613 419865 418934 380270 375645 374924 372836 360278 327692 312517 295041 292208 2507 241121 2235159 2232203 2228219 2213984 2209422 2189241 2185666 2139295 2071330 2060463 2031585 2025947 2014129 2006004 1988643 1953648 1905878 1886009 185529 1842680 1822770 1791611 1762246 1748110 1743955 1715897 1704151 169774 1674347 1665586 166298 1659666 164850 1639193 1639061 161497 1614166 1613009 1611534 1605108 1596644 1588620 1572902 1564558 1562350 1559958 1545364 1503337 1501821 1482854 1477509 1473948 1470552 1457884 1426341 1421288 139335 138526 138408 1374577 1321344 1314361 1309753 1309499 1281589 1275261 1272277 1268918 1267968 1230662 1208855 1204075 1173588 1170435 1162408 1157610 1147447 1124696 1117699 1106983 1081944 1058984 1058628 1057692 1044866 1040990 1032043 1000445 919007 493623 433613 391835 317855 269210 1709669 1303769 861633 747730 699144 636227 601175 563378 533875 2243047 2187821 2144025 2067435 1892017 1638417 157653 1464112 1299922 1131748 1114808 77268 649955 640883 401485 264821 2221713 2203516 2170187 2160850 1930652 1561911 1283236 600193 577846 366499 294906 1627327 1481605 1315501 1247571 2161270 1709794 1609130 85184 801400 655318 25304 250051 1768979 2148216 2126038 2089307 1912963 178136 1376095 1330055 1200622 1051834 965304 95899 869813 847749 816840 812510 794747 744480 733638 640178 542459 511272 50011 47028 443903 434255 427091 397455 299391 2248734 224005 2188174 2140444 2101279 2061699 2054919 2010142 1976657 1961041 19294 1909176 1871885 1809054 178497 1754410 1737538 1717868 1696592 1690254 1617887 1604996 1575412 1493998 1417252 1390814 1336245 1328475 1318181 1290673 1183554 1166498 1130940 108616 1065523
426,92584 1755057 1525094 885676 1591324 762357 733468 703799 2114604 1397733 1309402 1513874 1474160 608753 581263 2131795 212235 1886966 1200538 1020664 1743931 1715768 1620205 1619181 1506113 1220376 841427 1896437 174625 873 1522781 1425521 643226 37257 284639 1738852
1861,59550 1818633 1059590 922192 528639 282043 1048827 124595
10212,792369 24013 199989 1723109 509790 275419 2148031 711071 551557 1495359 2017320 1753895 824163 719916 694244 681072 49767 414184 290814 1907454 1888199 1830188 1763581 173546 1155164 1114250 1576383 1443210 131299 195044 736670 1279152 656535 213826 1409670 1274721 2108310
10275,876311 368138 300441 2029275 995222 389312 358576 1979860 2192149 871240 2161376
11496,511060 395701 310992 1762778 1272569 382531 1743639 973637 248838 1885728 220745 1872494 1492999 1202424 1104541
18188,2143863 552709 1596936 661470 1449121 389381 932834 517152 2179721 1545848 837759 474495 2235164 197565 1625524 1572736 580096 2085225 1908236 1792343 913351 909867 804483 573569 2166077 2045142 1370016 1161740 986581 925232 888761 813760 735641 710443 241280 2174825 1957616 1940154 1932598 1835169 1678146 157235 1478315 139332 1221739 1107957 1094311 763814 201934 1794090 1667384 137079
24084,985112 878697 2110768 2109321 1921831 1884939 1255955 1231769 1033339 1016070 948819 881167 855848 798065 755602 709938 540977 485673 1869397 1738102 1627503 1373575 1295125 1293911 1265218 1125171 1995821 159070 1019835 508776 387864 83119 885251 577751 2088513 1631641 921770 740629 1956573 1382971 1036778 1001700 742130 333881 264073 1189579 682071
24742,1479666 93774 1027260 368006 2044666 1208535 1048305 51173 418161 1983432 1781937 1913487 1245729 554197 415681 2169048 1913043 130342 721790 71659 2089832 16442 1401091 1212339 2096774 306589 2254334 1878416 1252386
25416,605987 374185 232439 2185606 1966318 1622407 1610983 1067880 930472 867114 812580 790443 670347 558147 305286 2192042 1919301 1854342 1687437 1614447 1613422 1610714 1577492 1400136 1370261 1099694 866186 1474602 1451082 1416605 1360551 927390 892088 813039 811814 519560 2001332 1818437 1237729 1227405 742067 61971 360572 329902 2225397 1847725 1596121 1196882 2247877 941767 93999 869152 814588 757899 460139 284666 2160345 2138119 2134084 1895909 1828331 181977 1797025 169683 1587465 1485594 1462076 1447022 12812 12388 1168453 1076709 1825773 424415 84140 680237 1676941 1503965 686511 1826301 1104862
