AuthorId,PaperIds
55,847068 749124 949475 2253161 507841 855331 2149929 1068666 360533 1598529 368324 674836 2145125 609556 538215 1006063 1420910 1113127 283152 869430 2160386 627473 1182092 341916 1807352 1258087 285210 1963658 599636 649131 1705250 2242701 1389430 1917226 1246558 529078 998325 605718 580095 1311582 567439 2139275 1958000 1629211 1315957 68389 391076 144775 400429 1200417 1087938 191340 501918 1536069 311565 415449 2239313 337774 1003588 889545 778747 427328 1309499 360278 569149 1715897 838147 151248 1567825 787670 590824 842748 1503337 847721 1134037 2172928 1404308 375494 1846507 1114808 1426341 1791611 375645 600343 396571 1208855 122970 40294 2050391 1358815 1236357 1516256 330142 1291570 1221789 389256 824805 2047193 222469 178422 1318932 1868160 164850 413987 24074 1038114 914441 1253687 1030869 1421288 2130152 1709669 1645597 1402396 294906 1484358 1453295 1017616 520682 1358761 561429 1935912 82669 55193 415677 1246911 645843 478547 1647435 75169 530550 1432571 1844943 852486 652442 1561133 167677 2088058 836602 462613 1639193 878611 618099 2069862 1796849 1704151 1213444 1012283 849805 1964990 402085 803603 878853 1674347 1162408 2133149 2239080 1505207 685489 424703 1892017 1692285 1254356 1131277 1334565 742557 1805568 2144025 1334503 1279252 1598603 1394715 782195 1842828 1412697 2169279 1813933 1028676 1996769 1333822 129165 716659 1218501 68780 787171 494493 2152937 2020050 2188967 836932 1513936 602590 1923712 1503094 732607 1040990 393613 563378 916062 761011 400432 275203 2116002 1292671 590988 449667 1691264 1572902 1267968 1079484 138408 1696592 1127766 2219269 1232116 1634096 153324 739353 2189241 348351 857434 778260 2233795 160532 82789 1914211 1728999 768943 341809 636227 2188615 1149308 209987 1471568 69178 1767867 809176 1129545 293806 1263351 1988335 1495079 1779715 1306853 1265959 844326 1234065 1562350 1490929 419865 479932 2001206 1390814 1487068 128962 1384633 640178 951610 947880 1689507 1314361 933473 2069581 1034482 2235159 616823 861633 545233 2078331 885156 666181 367455 1842680 179163 548812 1470552 2100017 1507925 1348168 1338645 839470 42966 1111248 1368392 145200 1369596 52775 767668 441364 25103 1600372 1521193 1988643 1953648 1272277 862499 1613009 1169763 1230662 1647084 433440 1514435 683325 110515 1231847 707333 596639 2172944 2135162 1704638 1686687 1480374 2060463 671895 1258466 188583 1002385 20444 1058628 468963 185529 372994 1743955 169774 2033860 1561911 1619343 566388 919007 601175 533875 1575412 1717868 446774 391835 1131748 1347683 300323 1845523 1792050 1321344 269210 1065523 762178 418934 1235117 569738 380270 1315501 2061699 1671418 1441833 1401976 2071330 1886009 1598298 166298 837051 836220 1978555 1596644 1355338 1330500 2228319 75356 282173 2097673 243218 1389913 1000445 241121 2228219 267444 1283236 109868 1147447 434255 1930652 1475480 157653 217562 662811 1874507 2086146 1618919 873533 1406810 491228 697076 317855 2067435 222631 440944 2043565 292208 600193 1247571 2203516 2160850 2107137 1845348 1224097 366499 529900 2169998 2020967 791391 1501821 2092511 434161 2238930 1340284 1079496 1473948 991821 36459 2052277 1740617 1341262 47028 1309753 1226103 2170187 2227977 690310 1130940 860343 701621 1175552 720336 605597 1605108 362297 1170435 1993390 1974662 1224720 1412366 264821 1477509 372836 1669282 1296398 1350211 816840 913529 810770 1627327 2126038 981085 374924 1157610 2243047 1303769 2232203 801400 515706 744480 1106983 657724 372043 965304 1417252 1976657 1998820 699144 583593 2254072 787757 1032043 2248734 1737538 607208 1638417 801725 1268197 1051041 50011 197854 1537119 717808 248390 1782482 441057 783611 1611534 649955 640883 1330055 228600 944768 411010 2161270 1709794 500411 1095626 655318 1039736 77268 1748110 1124696 251879 823685 753581 2001305 1637203 1231449 25304 250051 898876 1392908 224005 1762246 161497 1058984 2185666 518886 136767 1665586 1482854 2101279 1324071 1299922 1374577 258012 2140444 1754410 487867 452096 443598 1120846 1464112 511272 1117699 686632 2187821 1819740 1961041 1871885 493623 2182966 102768 1971149 2006004 1809054 1545364 747730 766130 633416 1409438 1905878 2139295 15471 1609130 2213984 1044866 429669 1639061 1559958 617344 327786 401485 108616 577846 341776 1275261 1057692 1973900 1294041 1165889 745317 313273 1373323 918326 520007 1287246 1425243 1212786 1587177 1360578 312517 1618867 493921 1081944 1883848 733374 558232 1268918 1173588 2010142 433613 939887 1488589 589720 156007 423069 2014129 417586 651888 1564558 1204075 757830 629576 1457884 295041 2223355 1183554 327692 1281589 1604996 733638 1617887 800859 860367 1693618 571156 369796 1614166 2221713 95899 812510 322106 2188174 805860 883792 2507 973193 1166498 2025947 427091 1088098 821861 1705023 824229 1659666 1481605 2089307 1051834 1153819 1909176 819589 810900 867779 443903 869813 2031585 1874629 1588620 299391 1822770 1290673 464497 139335 138526 1690254 2209422 1318181 847749 542459 1336245 19294 794747 2054919 1493998 1200622 178497 397455 2148216 1328475 1768979 85184 1912963 1376095 178136
426,1591324 581263 1020664 92584 2131795 1620205 1506113 212235 1755057 1886966 1619181 1200538 2114604 1525094 762357 733468 608753 885676 1474160 1513874 1309402 1715768 1743931 703799 1397733 1220376 1522781 643226 37257 1738852 841427 1425521 284639 1896437 174625 873
1861,282043 1048827 922192 528639 59550 1818633 1059590 124595
10212,824163 1830188 551557 290814 24013 711071 1495359 719916 681072 173546 1763581 49767 509790 275419 2148031 414184 792369 1753895 1155164 1723109 1576383 199989 1114250 1888199 2017320 1443210 1907454 694244 131299 1409670 213826 1274721 2108310 656535 195044 736670 1279152
10275,2029275 300441 368138 876311 389312 358576 1979860 995222 871240 2161376 2192149
11496,511060 382531 220745 1762778 248838 310992 1885728 1272569 1743639 1492999 973637 395701 1872494 1202424 1104541
18188,661470 1449121 2143863 552709 389381 932834 1596936 837759 2045142 1370016 925232 888761 2174825 1957616 1835169 1221739 763814 813760 201934 909867 2179721 710443 139332 1107957 986581 1678146 241280 1625524 1545848 735641 1932598 2166077 1161740 517152 2235164 197565 573569 1908236 137079 1572736 580096 1792343 2085225 804483 1094311 157235 1667384 1794090 1940154 474495 913351 1478315
24084,1016070 855848 1295125 2110768 798065 1869397 1921831 1293911 1738102 709938 881167 1995821 878697 740629 1019835 985112 159070 1627503 1033339 1631641 1956573 540977 921770 1125171 264073 1036778 1231769 1001700 1189579 1265218 1255955 2109321 1884939 755602 83119 1382971 387864 948819 485673 1373575 2088513 508776 742130 577751 333881 885251 682071
24742,1983432 1479666 1781937 368006 1913487 1245729 2044666 418161 51173 1208535 1027260 93774 1048305 554197 1212339 1913043 2169048 130342 2096774 16442 415681 2089832 71659 1878416 721790 1401091 2254334 306589 1252386
25416,813039 1370261 1622407 1610983 61971 1847725 1196882 1614447 2185606 1237729 329902 1966318 1067880 360572 2247877 93999 1797025 2134084 1895909 1485594 1919301 1474602 812580 2160345 814588 1462076 374185 670347 305286 1577492 930472 866186 1416605 2192042 867114 790443 605987 232439 1687437 1610714 1400136 1854342 2225397 1596121 519560 1613422 927390 1818437 1360551 892088 742067 1451082 2001332 1227405 558147 869152 1828331 181977 1447022 12812 1587465 12388 460139 2138119 169683 1076709 1168453 941767 284666 757899 811814 1825773 1099694 84140 424415 1503965 686511 1104862 680237 1676941 1826301
