AuthorId,PaperIds
55,368324 360533 949475 855331 674836 580095 285210 283152 1598529 1006063 847068 749124 507841 2253161 2149929 1068666 501918 1420910 627473 529078 2239313 1963658 1807352 1629211 1182092 599636 391076 144775 609556 341916 1958000 1200417 1113127 1087938 1917226 1536069 1246558 1003588 1389430 998325 869430 605718 415449 2160386 1311582 68389 191340 1705250 2242701 649131 567439 538215 400429 2145125 1258087 1315957 889545 311565 337774 2139275 787670 427328 1567825 847721 1134037 569149 1404308 842748 778747 590824 360278 1503337 1309499 375494 151248 933473 520682 478547 1791611 1426341 293806 1263351 947880 878611 837051 645843 618099 607208 561429 530550 348351 330142 2219269 1964990 1935912 1846507 179163 178422 1779715 1495079 1394715 1318932 1291570 69178 600343 396571 1647435 1236357 991821 951610 916062 914441 873533 860343 844326 839470 836932 836220 82669 809176 791391 782195 768943 761011 75356 742557 739353 707333 701621 666181 662811 602590 596639 55193 548812 441364 433440 42966 415677 40294 400432 393613 389256 367455 36459 341809 282173 275203 25103 243218 24074 2239080 2227977 2188615 217562 2172944 2169279 2152937 2135162 2133149 2130152 2116002 2107137 2097673 2052277 2050391 2020967 2020050 1996769 1978555 1923712 1914211 188583 1868160 1845348 1844943 1842828 1813933 1805568 1796849 1767867 1740617 1728999 1704638 1686687 1671418 1645597 1619343 1600372 1521193 1514435 1513936 1505207 1503094 1487068 1484358 1480374 1475480 1453295 1441833 1432571 1412697 1406810 1402396 1401976 1389913 1358815 1358761 1355338 1347683 1341262 1334565 1334503 1333822 1330500 1292671 129165 128962 1279252 1265959 1253687 1246911 1235117 1234065 1224097 1221789 1175552 1149308 1129545 1127766 109868 1038114 1030869 1028676 1017616 1002385 424703 413987 1634096 153324 636227 563378 2067435 1892017 1709669 1114808 222469 2188967 2069862 167677 1516256 1306853 1232116 122970 1226103 1111248 294906 1627327 1315501 836602 462613 1639193 1572902 1267968 885156 849805 824805 479932 2172928 82789 2078331 852486 652442 2047193 1561133 803603 732607 2144025 145200 1169763 878853 767668 75169 569738 402085 2233795 2088058 1692285 1598603 1254356 1131277 380270 2235159 1208855 857434 838147 778260 716659 419865 375645 2060463 185529 1842680 1715897 1704151 1674347 164850 1596644 1473948 1470552 1421288 138408 1314361 1162408 1147447 1040990 862499 1613009 787757 1051041 1012283 372043 1490929 1213444 68780 657724 683325 2189241 1743955 166298 1230662 787171 494493 110515 441057 913529 671895 590988 487867 452096 443598 267444 258012 2254072 1691264 1350211 1324071 1258466 1120846 1079484 1039736 102768 440944 2001206 1212786 944768 810770 1537119 1425243 1218501 1998820 1412366 411010 209987 1647084 1471568 2086146 1618919 616823 861633 617344 468963 449667 2228319 1874507 1384633 222631 640178 690310 429669 423069 2043565 1973900 919007 433613 1464112 1587177 1165889 1561911 224005 2061699 1575412 1390814 1130940 1065523 197854 685489 745317 633416 629576 518886 313273 251879 2223355 1971149 1819740 1373323 1369596 136767 1348168 600193 577846 1247571 1609130 2203516 2160850 1283236 156007 545233 533875 269210 2243047 157653 1303769 500411 362297 327786 248390 1993390 1409438 1296398 1224720 1079496 762178 2182966 2092511 1689507 160532 491228 418934 327692 292208 2139295 2006004 169774 1562350 1545364 1501821 1170435 1117699 1106983 1044866 883792 860367 823685 821861 810900 800859 52775 446774 2100017 2001305 1974662 1782482 1705023 1669282 1637203 1598298 15471 1294041 1287246 1153819 589720 1488589 801400 655318 2089307 1051834 766130 757830 2185666 1905878 1309753 583593 300323 228600 20444 1845523 1792050 939887 697076 520007 295041 2014129 1639061 1477509 1321344 1058628 1000445 493921 1988335 1368392 1231449 1095626 1034482 686632 2069581 434255 1717868 1696592 529900 2169998 1088098 2126038 1330055 747730 699144 601175 493623 391835 317855 2187821 1638417 1299922 1131748 819589 753581 733374 717808 566388 434161 372994 341776 2238930 2033860 1883848 1693618 1618867 1507925 1340284 1338645 366499 2161270 1709794 322106 981085 801725 571156 374924 2213984 2071330 1988643 1953648 1762246 1748110 161497 1457884 1374577 1268918 1173588 1157610 1124696 77268 649955 640883 401485 264821 2221713 2170187 1930652 250051 2148216 178136 1481605 417586 369796 1874629 1392908 1360578 1268197 1231847 973193 918326 898876 867779 824229 805860 783611 720336 651888 605597 558232 515706 464497 372836 312517 2507 241121 2232203 2228219 2209422 2031585 2025947 1886009 1822770 1665586 1659666 1614166 1611534 1605108 1588620 1564558 1559958 1482854 139335 138526 1281589 1275261 1272277 1204075 1081944 1058984 1057692 1032043 85184 25304 1768979 1912963 1376095 1200622 965304 95899 816840 812510 50011 427091 2188174 2010142 1976657 1961041 1909176 1871885 1417252 1166498 108616 542459 2140444 1336245 1318181 2054919 19294 1754410 847749 733638 47028 443903 2248734 2101279 1809054 1617887 1604996 1290673 869813 794747 744480 511272 397455 299391 178497 1737538 1690254 1493998 1328475 1183554
426,1743931 1715768 1220376 703799 1397733 1513874 1474160 885676 762357 733468 2114604 92584 1755057 1619181 1525094 1591324 1620205 1506113 1309402 581263 2131795 212235 1886966 1200538 1020664 608753 174625 873 1896437 841427 1522781 643226 37257 284639 1738852 1425521
1861,282043 1048827 922192 528639 59550 1818633 1059590 124595
10212,719916 681072 49767 1763581 173546 824163 694244 1888199 414184 290814 1907454 1830188 1155164 1114250 711071 551557 1495359 2017320 1753895 199989 1723109 509790 275419 2148031 24013 792369 1576383 1443210 131299 1409670 1274721 736670 1279152 195044 656535 213826 2108310
10275,368138 876311 300441 2029275 995222 389312 358576 1979860 871240 2192149 2161376
11496,395701 382531 1743639 973637 310992 1762778 1272569 511060 248838 1885728 220745 1872494 1492999 1202424 1104541
18188,661470 1449121 552709 2143863 389381 1596936 932834 1908236 517152 2179721 1545848 837759 2235164 197565 1625524 909867 804483 2166077 2045142 1370016 1161740 1667384 986581 925232 888761 735641 710443 241280 2174825 1957616 1940154 1932598 1835169 1678146 157235 139332 1221739 1107957 1094311 474495 763814 137079 2085225 1572736 913351 573569 580096 1792343 813760 1794090 1478315 201934
24084,985112 1016070 2109321 1255955 881167 855848 798065 709938 540977 1869397 1295125 1265218 1995821 755602 1738102 740629 1001700 1019835 2110768 83119 264073 878697 1884939 508776 387864 1921831 742130 1189579 948819 485673 1373575 1125171 1231769 1033339 885251 2088513 577751 159070 1627503 1293911 921770 1956573 1382971 1036778 1631641 333881 682071
24742,1479666 1983432 1781937 368006 51173 2044666 418161 1208535 1913487 1245729 1048305 93774 1027260 554197 1212339 130342 2169048 415681 1913043 1878416 2096774 2089832 306589 16442 721790 1401091 1252386 71659 2254334
25416,2185606 1966318 1919301 1474602 1622407 1610983 1854342 1099694 605987 374185 232439 866186 813039 1451082 1416605 1360551 930472 867114 790443 670347 305286 2192042 1687437 1614447 1613422 1610714 1577492 1400136 1370261 1818437 742067 61971 329902 2225397 1847725 1596121 1196882 2247877 927390 892088 519560 2001332 1237729 1227405 1067880 941767 93999 869152 814588 757899 460139 284666 2160345 2138119 2134084 1895909 1828331 181977 1797025 169683 1587465 1485594 1462076 1447022 12812 12388 1168453 1076709 360572 558147 812580 811814 1825773 1503965 84140 424415 686511 1676941 1826301 680237 1104862
28219,1890179 602134 1456144 1652378 631751 586226 83820 623567 1025108 1835483 5770 1144676 330872 1955611 1931375 1325050 1791923 1422005 109827 1220941 680300 167565 1399749 774485 627675 1680681 1588027 2060242 897275 2184495 1902112 1150031 383133 68017 1464976 303593 1116196 82050 5120 335385 780897 1706816 1731420 447407 128718 487655 1581445 660242 1852837 1594284 2247914 1696145 1078812 665753 647888 401615 333598 186104 1637736 1084963 654955 1481346 1862163 1703055
29128,921604 703337 1860108 2178958 1137717 642811 657946 618851 601667 1174507 315629 2196786 2095139 110647 1769412 1235232 1927641 1380889 223276 804653 1668715 1635071 648074
34494,803164 1206531 259341 1063907 91967 560590 846983 968173 1076624 712201 1524512 1397825 1750762 1910875 1784487 1356744 1116725 1014168 472573 159091 1320542 353064 1096538 1006766 707534 809480 997090 804003 549068 2047860 1536613 728621 629989 462095 1719679
34496,888479 266856 2253773 1363327 1638932 62917 2169307 2130364 1429443 1359075 858967 632352 161413
36062,96930 1051950 88304 870955 581437 461765 384055 2257551 1895803 1765448 1488418 1037188 2084437 1958799 921400 910628 704914 1895472 318438 1579310 1225907 2251014 1975276 1411362 1644154 924384 82450 471502 274016 1809858 1481448 1314077 1150479 1096144 100193 100084 448872 239616 646637 2166942 1894316 710159 231435 1070290 1374008 1168546 1098015 1007492 292891 972530 611971 1760287 1627429 1884507 1755021 1227183 1152288 916143 1791107 1528118 1205019 946260 253150 1658764 605243 1393734 2030363 1520105 1346661 280324 1053515 105792 1135619 914058 2129732 2120779 1475139 1257199 12362 111433 869744 52206 400327 1148170 2254989 822364 1938337 1770228 899789 838672 394413 2143817 1296714 881018 830033 741657 691018 2257205 2243971 2179156 2011689 1975664 169846 1561467 1561450 1537633 1260867 1107923 709071 667744 630759 319858 2258994 2009413 1465493 1293320 957237 1805494 1765108 1566501 1178094 838367 1065957 1994278 1501169 939209 1985804 183182 1291513 1033927 57030 2218065 1425834 993804 1696591 2169470 100646 1302514 1488609 1229421
