AuthorId,PaperIds
55,749124 609556 341916 1200417 1087938 847068 649131 567439 2149929 1705250 1113127 889545 507841 311565 2253161 1958000 1068666 1917226 1536069 1389430 1246558 1003588 283152 1315957 1006063 855331 627473 1182092 949475 144775 998325 869430 605718 501918 415449 2160386 1420910 1311582 391076 285210 599636 580095 1963658 1807352 2242701 674836 529078 2239313 1629211 1598529 538215 400429 337774 2145125 2139275 1258087 68389 368324 360533 191340 600193 577846 366499 294906 1627327 1481605 1315501 1247571 2161270 1709794 1609130 919007 493623 433613 391835 317855 269210 1709669 1303769 77268 649955 640883 401485 264821 2221713 2203516 2170187 2160850 1930652 1561911 1283236 861633 747730 699144 636227 601175 563378 533875 2243047 2187821 2144025 2067435 1892017 1638417 157653 1464112 1299922 1131748 1114808 85184 801400 655318 25304 250051 1768979 2148216 2126038 2089307 1912963 178136 1376095 1330055 1200622 1051834 69178 616823 600343 493921 396571 372043 1988335 1647435 1490929 1368392 1236357 1231449 1218501 1213444 1095626 1034482 991821 951610 916062 914441 873533 860343 844326 839470 836932 836220 82669 809176 791391 782195 768943 761011 75356 742557 739353 707333 701621 666181 662811 602590 596639 55193 548812 441364 433440 42966 415677 40294 400432 393613 389256 367455 36459 341809 322106 282173 275203 25103 243218 24074 2239080 2227977 2188615 217562 2172944 2169279 2152937 2135162 2133149 2130152 2116002 2107137 2097673 2052277 2050391 2020967 2020050 1996769 1978555 1923712 1914211 188583 1868160 1845348 1844943 1842828 1813933 1805568 1796849 1767867 1740617 1728999 1704638 1686687 1671418 1645597 1619343 1600372 1521193 1514435 1513936 1505207 1503094 1487068 1484358 1480374 1475480 1453295 1441833 1432571 1412697 1406810 1402396 1401976 1389913 1358815 1358761 1355338 1347683 1341262 1334565 1334503 1333822 1330500 1292671 129165 128962 1279252 1265959 1253687 1246911 1235117 1234065 1224097 1221789 1175552 1149308 1129545 1127766 109868 1038114 1030869 1028676 1017616 1002385 68780 686632 657724 569149 222631 2086146 2069581 1998820 1618919 156007 1412366 1404308 981085 918326 898876 805860 766130 697076 683325 605597 571156 520007 478547 419865 372836 312517 241121 2209422 2189241 2025947 2014129 1953648 1886009 1822770 1791611 1762246 1704151 1674347 166298 1659666 161497 1611534 1605108 1562350 1545364 1482854 1470552 1421288 139335 1374577 1314361 1309753 1309499 1281589 1170435 1117699 1057692 1040990 1000445 847721 82789 803603 787171 732607 690310 545233 529900 494493 424703 413987 411010 2169998 209987 2078331 1647084 1471568 1134037 110515 1088098 913529 885156 810900 810770 800859 479932 452096 446774 443598 440944 348351 267444 251879 2001206 179163 1779715 1637203 1598298 15471 1394715 1324071 1291570 1287246 1258466 1079484 944768 860367 837051 787757 787670 645843 629576 607208 427328 375494 313273 293806 2254072 2223355 2219269 2100017 1971149 1964990 1846507 1567825 1537119 151248 1369596 1350211 1348168 1294041 1153819 102768 1012283 852486 819589 733374 652442 566388 468963 449667 441057 372994 362297 248390 222469 2188967 2069862 2047193 2043565 1883848 1874507 167677 1634096 1561133 153324 1516256 1384633 1306853 1296398 1111248 947880 933473 883792 878611 821861 618099 590988 530550 518886 487867 258012 2001305 1819740 1782482 1705023 1691264 1425243 1263351 1120846 1051041 973193 867779 838147 801725 778260 757830 720336 716659 651888 590824 491228 464497 380270 374924 295041 292208 2507 2235159 2232203 2213984 2185666 2060463 2006004 1988643 1905878 185529 1842680 169774 1665586 164850 1639061 1614166 1559958 1477509 1457884 138526 138408 1321344 1268918 1208855 1204075 1173588 1162408 1157610 1147447 1044866 1032043 849805 824805 823685 745317 671895 633416 561429 52775 330142 2172928 1974662 1935912 178422 1669282 1495079 1373323 136767 1318932 1212786 1039736 878853 767668 762178 75169 589720 583593 569738 417586 402085 369796 300323 228600 2233795 2182966 2092511 2088058 20444 197854 1874629 1845523 1792050 1692285 1689507 160532 1598603 1488589 145200 1392908 1360578 1268197 1254356 1231847 1131277 939887 862499 857434 842748 836602 824229 783611 778747 685489 558232 520682 515706 462613 418934 375645 360278 327692 2228219 2139295 2071330 2031585 1748110 1743955 1715897 1639193 1613009 1596644 1588620 1572902 1564558 1503337 1501821 1473948 1426341 1275261 1272277 1267968 1230662 1124696 1106983 1081944 1058984 1058628 753581 717808 617344 500411 434161 429669 423069 341776 327786 2238930 2228319 2033860 1993390 1973900 1693618 1618867 1587177 1507925 1409438 1340284 1338645 1232116 122970 1226103 1224720 1169763 1165889 1079496 965304 95899 869813 847749 816840 812510 794747 744480 733638 640178 542459 511272 50011 47028 443903 434255 427091 397455 299391 2248734 224005 2188174 2140444 2101279 2061699 2054919 2010142 1976657 1961041 19294 1909176 1871885 1809054 178497 1754410 1737538 1717868 1696592 1690254 1617887 1604996 1575412 1493998 1417252 1390814 1336245 1328475 1318181 1290673 1183554 1166498 1130940 108616 1065523
426,1743931 1715768 1620205 1619181 1506113 1220376 762357 733468 703799 2114604 1397733 1309402 885676 1591324 92584 1755057 1525094 608753 581263 2131795 212235 1886966 1200538 1020664 1513874 1474160 174625 1522781 1425521 841427 1896437 873 643226 37257 284639 1738852
1861,922192 528639 282043 1048827 59550 1818633 1059590 124595
10212,414184 290814 1907454 1830188 1155164 1114250 2017320 1753895 824163 719916 694244 681072 49767 1888199 1763581 173546 711071 551557 1495359 1576383 792369 24013 509790 275419 2148031 199989 1723109 1443210 131299 656535 2108310 736670 1279152 213826 1409670 1274721 195044
10275,2029275 876311 368138 300441 995222 389312 358576 1979860 2192149 871240 2161376
11496,511060 395701 310992 1762778 1272569 1885728 973637 248838 382531 1743639 220745 1872494 1492999 1202424 1104541
18188,661470 1449121 389381 552709 1596936 2143863 932834 517152 2179721 1545848 580096 2085225 1908236 1792343 913351 909867 804483 573569 2166077 2045142 1370016 1161740 837759 474495 2235164 197565 1625524 1572736 986581 925232 888761 813760 735641 710443 241280 2174825 1957616 1940154 1932598 1835169 1678146 157235 1478315 139332 1221739 1107957 1094311 763814 201934 1794090 1667384 137079
24084,83119 1995821 159070 1019835 948819 755602 1293911 1265218 881167 855848 798065 709938 540977 485673 1869397 1738102 1627503 1373575 1295125 1125171 508776 387864 921770 740629 1956573 1382971 1036778 1001700 885251 577751 2088513 1631641 985112 878697 2110768 2109321 1921831 1884939 1255955 1231769 1033339 1016070 742130 333881 264073 1189579 682071
24742,1479666 368006 2044666 1208535 1048305 51173 418161 1983432 1781937 93774 1027260 1913487 1245729 554197 415681 2169048 1913043 130342 721790 71659 2089832 16442 1401091 1212339 306589 2254334 1878416 1252386 2096774
25416,790443 670347 1610714 1099694 930472 867114 812580 558147 305286 2192042 1919301 1854342 1687437 1614447 1613422 1577492 1400136 1370261 927390 892088 813039 811814 519560 2001332 1818437 1237729 1227405 1474602 1451082 1360551 605987 374185 232439 2185606 1966318 1622407 1610983 1067880 742067 61971 360572 329902 2225397 1847725 1596121 1196882 866186 1416605 941767 93999 869152 814588 757899 460139 284666 2160345 2138119 2134084 1895909 1828331 181977 1797025 169683 1587465 1485594 1462076 1447022 12812 12388 1168453 1076709 1825773 2247877 686511 1826301 680237 1676941 1503965 1104862 84140 424415
